# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
05366,Minamiakita-gun Ikawa-machi,Akita,南秋田郡井川町
05368,Minamiakita-gun Ogata-mura,Akita,南秋田郡大潟村
05434,Semboku-gun Misato-cho,Akita,仙北郡美郷町
05463,Ogachi-gun Ugo-machi,Akita,雄勝郡羽後町
05464,Ogachi-gun Higashinaruse-mura,Akita,雄勝郡東成瀬村
06201,Yamagata-shi,Yamagata,山形市
06202,Yonezawa-shi,Yamagata,米沢市
06203,Tsuruoka-shi,Yamagata,鶴岡市
06204,Sakata-shi,Yamagata,酒田市
06205,Shinjo-shi,Yamagata,新庄市
06206,Sagae-shi,Yamagata,寒河江市
06207,Kaminoyama-shi,Yamagata,上山市
06208,Murayama-shi,Yamagata,村山市
06209,Nagai-shi,Yamagata,長井市
06210,Tendo-shi,Yamagata,天童市
06211,Higashine-shi,Yamagata,東根市
06212,Obanazawa-shi,Yamagata,尾花沢市
06213,Nanyo-shi,Yamagata,南陽市
06301,Higashimurayama-gun Yamanobe-machi,Yamagata,東村山郡山辺町
06302,Higashimurayama-gun Nakayama-machi,Yamagata,東村山郡中山町
06321,Nishimurayama-gun Kahoku-cho,Yamagata,西村山郡河北町
06322,Nishimurayama-gun Nishikawa-machi,Yamagata,西村山郡西川町
06323,Nishimurayama-gun Asahi-machi,Yamagata,西村山郡朝日町
06324,Nishimurayama-gun Oe-machi,Yamagata,西村山郡大江町
06341,Kitamurayama-gun Oishida-machi,Yamagata,北村山郡大石田町
06361,Mogami-gun Kaneyama-machi,Yamagata,最上郡金山町
06362,Mogami-gun Mogami-machi,Yamagata,最上郡最上町
06363,Mogami-gun Funagata-machi,Yamagata,最上郡舟形町
06364,Mogami-gun Mamurogawa-machi,Yamagata,最上郡真室川町
06365,Mogami-gun Okura-mura,Yamagata,最上郡大蔵村
06366,Mogami-gun Sakegawa-mura,Yamagata,最上郡鮭川村
06367,Mogami-gun Tozawa-mura,Yamagata,最上郡戸沢村
06381,Higashiokitama-gun Takahata-machi,Yamagata,東置賜郡高畠町
06382,Higashiokitama-gun Kawanishi-machi,Yamagata,東置賜郡川西町
06401,Nishiokitama-gun Oguni-machi,Yamagata,西置賜郡小国町
06402,Nishiokitama-gun Shirataka-machi,Yamagata,西置賜郡白鷹町
06403,Nishiokitama-gun Iide-machi,Yamagata,西置賜郡飯豊町
06426,Higashitagawa-gun Mikawa-machi,Yamagata,東田川郡三川町
06428,Higashitagawa-gun Shonai-machi,Yamagata,東田川郡庄内町
06461,Akumi-gun Yuza-machi,Yamagata,飽海郡遊佐町
07201,Fukushima-shi,Fukushima,福島市
